Genotype,Age,Time,Observation_within_time,value,measure,unit
GG,2-year,168,2,7.14413543713621,PHA,percent
GG,2-year,168,3,7.72675558923673,PHA,percent
GG,2-year,168,4,7.38842275960884,PHA,percent
GG,2-year,168,5,7.45768696844061,PHA,percent
DD,2-year,168,1,4.1827748437569,PHA,percent
DD,2-year,168,2,3.11531524899701,PHA,percent
DD,2-year,168,3,3.4511362231371705,PHA,percent
DD,2-year,168,4,3.18271311965226,PHA,percent
DD,2-year,168,5,1.10348956581186,PHA,percent
GD,2-year,168,1,5.0969991742206,PHA,percent
GD,2-year,168,2,3.82985975173611,PHA,percent
GD,2-year,168,3,3.6107775761013103,PHA,percent
GD,2-year,168,4,3.39558449721502,PHA,percent
GD,2-year,168,5,4.32057631559874,PHA,percent
GG,1-year,0,1,73034.0,ROS,fluorescence arbitrary units
GG,1-year,0,2,54317.7,ROS,fluorescence arbitrary units
GG,1-year,0,3,54904.2,ROS,fluorescence arbitrary units
GG,1-year,0,4,62216.1,ROS,fluorescence arbitrary units
GG,1-year,0,5,62299.3,ROS,fluorescence arbitrary units
DD,1-year,0,1,297081.2,ROS,fluorescence arbitrary units
DD,1-year,0,2,274569.2,ROS,fluorescence arbitrary units
DD,1-year,0,3,283999.8,ROS,fluorescence arbitrary units
DD,1-year,0,4,321043.1,ROS,fluorescence arbitrary units
DD,1-year,0,5,260755.3,ROS,fluorescence arbitrary units
GD,1-year,0,1,121078.7,ROS,fluorescence arbitrary units
GD,1-year,0,2,119037.2,ROS,fluorescence arbitrary units
GD,1-year,0,3,128281.1,ROS,fluorescence arbitrary units
GD,1-year,0,4,130607.7,ROS,fluorescence arbitrary units
GD,1-year,0,5,133838.9,ROS,fluorescence arbitrary units
GG,1-year,24,1,167492.8,ROS,fluorescence arbitrary units
GG,1-year,24,2,147102.1,ROS,fluorescence arbitrary units
GG,1-year,24,3,132245.3,ROS,fluorescence arbitrary units
