Genotype,Age,Time,Observation_within_time,Source_sheet,Source_row,THC_recorded,THC_converted,MOR_converted,MOR_ratio_stored,PHA_recorded,PHA_converted,PHA_ratio_stored,ROS_recorded,MOR_ratio_same_animal,PHA_ratio_same_animal
GD,2-year,0,1,2龄,14,1084.47,219.06294000000003,6.4464,0.0294271591534378,61.95,7.124249999999998,0.0325214753348968,62613.0,0.0294271591534378,0.0325214753348968
GD,2-year,0,2,2龄,15,969.03,195.74406,7.372560000000001,0.0376642846786768,43.51,5.00365,0.0255622060766492,63810.1,0.0376642846786768,0.0255622060766492
GD,2-year,0,3,2龄,16,899.5,181.699,2.5357199999999995,0.013955607900979,72.15,8.29725,0.0456648082818287,62917.5,0.013955607900979,0.0456648082818287
GD,2-year,0,4,2龄,17,791.44,159.87088,5.19384,0.0324877175880935,37.24,4.2826,0.0267878678093221,62026.0,0.0324877175880935,0.0267878678093221
GD,2-year,0,5,2龄,18,1272.52,257.04904,3.5944800000000003,0.0139836351849437,57.49,6.61135,0.0257201894237768,62300.0,0.0139836351849437,0.0257201894237768
GG,2-year,24,1,2龄,23,216.44,43.72088,3.54552,0.0810944335978598,41.54,4.777099999999999,0.109263582983691,50268.1,0.0810944335978598,0.109263582983691
GG,2-year,24,2,2龄,24,273.2,55.1864,2.80704,0.0508647057970804,34.84,4.0066,0.0726012205905802,74518.6,0.0508647057970804,0.0726012205905802
GG,2-year,24,3,2龄,25,280.91,56.74382000000001,3.69444,0.0651073544220322,33.92,3.9008,0.0687440500128472,65478.6,0.0651073544220322,0.0687440500128472
GG,2-year,24,4,2龄,26,297.26,60.04652,3.5577600000000005,0.0592500614523539,37.4,4.301,0.0716277979140173,66638.5,0.0592500614523539,0.0716277979140173
GG,2-year,24,5,2龄,27,307.98,62.21196,4.32684,0.0695499707773232,31.65,3.63975,0.0585056313930633,104411.8,0.0695499707773232,0.0585056313930633
DD,2-year,24,1,2龄,28,766.46,154.82492000000002,5.23872,0.0338364134145846,58.49,6.72635,0.0434448795452308,58605.0,0.0338364134145846,0.0434448795452308
DD,2-year,24,2,2龄,29,682.41,137.84682,6.33624,0.0459658046518592,75.48,8.6802,0.0629698965852095,60142.3,0.0459658046518592,0.0629698965852095
DD,2-year,24,3,2龄,30,686.05,138.5821,6.26892,0.0452361452164457,67.2,7.728,0.0557647777021707,49588.3,0.0452361452164457,0.0557647777021707
DD,2-year,24,4,2龄,31,601.18,121.43836,10.70796,0.0881760919696214,47.3,5.439499999999999,0.0447922715688848,58908.4,0.0881760919696214,0.0447922715688848
DD,2-year,24,5,2龄,32,694.84,140.35768000000002,6.24444,0.0444894785949724,57.4,6.600999999999998,0.0470298454633903,54446.1,0.0444894785949724,0.0470298454633903
GD,2-year,24,1,2龄,33,858.5,173.417,8.0376,0.0463483972159592,91.62,10.5363,0.0607570192080361,148557.8,0.0463483972159592,0.0607570192080361
GD,2-year,24,2,2龄,34,974.43,196.83486,8.288520000000002,0.0421090044720737,72.17,8.29955,0.0421650412940065,158808.8,0.0421090044720737,0.0421650412940065
GD,2-year,24,3,2龄,35,1008.74,203.76548,9.47988,0.0465234837618226,73.26,8.4249,0.0413460611679662,161408.3,0.0465234837618226,0.0413460611679662
GD,2-year,24,4,2龄,36,837.15,169.1043,9.19428,0.054370468403228,160.76,18.4874,0.109325428152921,183610.5,0.054370468403228,0.109325428152921
GD,2-year,24,5,2龄,37,1049.48,211.99496,8.798520000000002,0.0415034395157318,74.09,8.520349999999999,0.0401912856796218,176619.9,0.0415034395157318,0.0401912856796218
GG,2-year,48,1,2龄,42,702.11,141.82622,4.720560000000001,0.0332841134735171,84.63,9.732449999999998,0.0686223605197966,45492.2,0.0332841134735171,0.0686223605197966
GG,2-year,48,2,2龄,43,967.3,195.3946,3.973920000000001,0.0203379213140997,77.54,8.9171,0.0456363686611605,47723.5,0.0203379213140997,0.0456363686611605
GG,2-year,48,3,2龄,44,850.43,171.78686000000002,3.18852,0.0185609073941976,74.98,8.6227,0.0501941766675285,43565.8,0.0185609073941976,0.0501941766675285
GG,2-year,48,4,2龄,45,611.87,123.59774,4.849080000000001,0.0392327561976456,105.48,12.1302,0.0981425712152989,41403.2,0.0392327561976456,0.0981425712152989
GG,2-year,48,5,2龄,46,921.38,186.11876,3.33336,0.0179098549764677,62.26,7.159899999999999,0.0384695234376158,44955.3,0.0179098549764677,0.0384695234376158
DD,2-year,48,1,2龄,47,263.86,53.29972000000001,2.8662000000000005,0.0537751417831088,54.61,6.28015,0.1178270730127662,60931.7,0.0537751417831088,0.1178270730127662
DD,2-year,48,2,2龄,48,234.58,47.385160000000006,3.63732,0.0767607411265467,45.68,5.2532,0.1108617128231707,57709.2,0.0767607411265467,0.1108617128231707
DD,2-year,48,3,2龄,49,189.75,38.3295,3.32316,0.086699800414824,53.52,6.1548,0.1605760576057605,55577.0,0.086699800414824,0.1605760576057605
DD,2-year,48,4,2龄,50,224.57,45.36314,3.98616,0.0878722240127116,44.33,5.097949999999999,0.1123808889772621,55355.8,0.0878722240127116,0.1123808889772621
DD,2-year,48,5,2龄,51,280.07,56.57414,2.86008,0.0505545466532942,59.21,6.80915,0.120357993952714,57971.8,0.0505545466532942,0.120357993952714
GD,2-year,48,1,2龄,52,1705.48,344.50696,8.984160000000001,0.0260783120317801,90.25,10.37875,0.0301263869966516,81112.6,0.0260783120317801,0.0301263869966516
GD,2-year,48,2,2龄,53,1328.45,268.3469,13.04376,0.0486078281508003,95.75,11.01125,0.0410336396656715,74814.2,0.0486078281508003,0.0410336396656715
GD,2-year,48,3,2龄,54,1642.05,331.6941,6.69732,0.020191254532414,76.46,8.792899999999998,0.0265090636221747,79073.2,0.020191254532414,0.0265090636221747
GD,2-year,48,4,2龄,55,1424.48,287.74496,11.51784,0.0400279469708175,53.07,6.10305,0.0212099284032637,75966.0,0.0400279469708175,0.0212099284032637
GD,2-year,48,5,2龄,56,2001.1,404.22219999999993,8.99232,0.0222459825313899,81.08,9.3242,0.0230670161114357,83471.5,0.0222459825313899,0.0230670161114357
GG,2-year,96,1,2龄,61,740.15,149.5103,14.6472,0.0979678323165695,122.92,14.1358,0.0945473321904912,63042.1,0.0979678323165695,0.0945473321904912
GG,2-year,96,2,2龄,62,935.11,188.89222,11.872800000000002,0.062854891535501,133.36,15.3364,0.0811912740503552,60013.4,0.062854891535501,0.0811912740503552
GG,2-year,96,3,2龄,63,818.94,165.42588,12.19308,0.0737072095369841,105.75,12.16125,0.0735147970801183,60017.4,0.0737072095369841,0.0735147970801183
GG,2-year,96,4,2龄,64,824.59,166.56718,14.37996,0.0863312928753431,100.02,11.502299999999998,0.069055020322731,57813.0,0.0863312928753431,0.069055020322731
GG,2-year,96,5,2龄,65,890.2,179.82040000000003,13.42932,0.0746818492228912,89.24,10.2626,0.0570713890081436,60755.2,0.0746818492228912,0.0570713890081436
DD,2-year,96,1,2龄,66,475.7,96.0914,4.116720000000001,0.0428417111208703,59.76,6.872399999999999,0.0715194075640483,79793.2,0.0428417111208703,0.0715194075640483
DD,2-year,96,2,2龄,67,437.67,88.40934000000001,3.910680000000001,0.0442337879685562,48.11,5.532649999999999,0.062579926510027,56727.8,0.0442337879685562,0.062579926510027
DD,2-year,96,3,2龄,68,526.3,106.3126,3.71688,0.0349618013292874,48.98,5.632699999999999,0.0529824310570901,55723.1,0.0349618013292874,0.0529824310570901
DD,2-year,96,4,2龄,69,444.03,89.69405999999998,4.39824,0.0490360231212635,41.06,4.7219,0.052644511799332,60754.5,0.0490360231212635,0.052644511799332
DD,2-year,96,5,2龄,70,520.29,105.09857999999998,5.30196,0.0504474941526327,36.45,4.19175,0.0398839832089073,55204.6,0.0504474941526327,0.0398839832089073
GD,2-year,96,1,2龄,71,2343.88,473.46376,5.24688,0.0110819041355984,158.61,18.24015,0.0385249126564618,157608.8,0.0110819041355984,0.0385249126564618
GD,2-year,96,2,2龄,72,2350.69,474.83938,3.8964000000000008,0.0082057221117591,141.85,16.312749999999998,0.0343542483776303,178355.6,0.0082057221117591,0.0343542483776303
GD,2-year,96,3,2龄,73,2334.2,471.5084,5.01024,0.0106259824851476,122.6,14.098999999999997,0.0299019063075016,176249.4,0.0106259824851476,0.0299019063075016
GD,2-year,96,4,2龄,74,2334.5,471.569,6.26076,0.0132764452285879,109.59,12.60285,0.0267253572647905,163926.4,0.0132764452285879,0.0267253572647905
GD,2-year,96,5,2龄,75,2599.2,525.0384,4.50432,0.0085790296481171,155.56,17.8894,0.0340725554549914,146660.6,0.0085790296481171,0.0340725554549914
GG,2-year,168,1,2龄,80,2302.11,465.02622,17.37468,0.0373627964461874,309.47,35.58905000000001,0.0765312760213822,109685.3,0.0373627964461874,0.0765312760213822
GG,2-year,168,2,2龄,81,2265.55,457.6411,17.55828,0.0383669211528422,284.3,32.6945,0.0714413543713621,107483.1,0.0383669211528422,0.0714413543713621
GG,2-year,168,3,2龄,82,2054.86,415.08172,18.94752,0.0456476859544669,278.89,32.07234999999999,0.0772675558923673,107528.6,0.0456476859544669,0.0772675558923673
GG,2-year,168,4,2龄,83,2116.44,427.5208800000001,20.24292,0.0473495469975641,274.67,31.58705,0.0738842275960884,103818.2,0.0473495469975641,0.0738842275960884
GG,2-year,168,5,2龄,84,2123.12,428.87024,19.563600000000005,0.0456165948935976,278.12,31.983799999999995,0.0745768696844061,105290.6,0.0456165948935976,0.0745768696844061
DD,2-year,168,1,2龄,85,1935.04,390.87808,5.50188,0.0140756933722146,142.17,16.349549999999997,0.041827748437569,118957.0,0.0140756933722146,0.041827748437569
DD,2-year,168,2,2龄,86,1883.0,380.366,5.7915600000000005,0.0152262820546526,103.04,11.8496,0.0311531524899701,132162.9,0.0152262820546526,0.0311531524899701
DD,2-year,168,3,2龄,87,1809.8,365.5796,6.750360000000001,0.0184648158704697,109.71,12.616649999999998,0.0345113622313717,124585.3,0.0184648158704697,0.0345113622313717
DD,2-year,168,4,2龄,88,1781.95,359.9539,7.8438,0.0217911238077987,99.62,11.4563,0.0318271311965226,142358.1,0.0217911238077987,0.0318271311965226
DD,2-year,168,5,2龄,89,2224.11,449.27022,4.64916,0.0103482487666331,43.11,4.957649999999999,0.0110348956581186,129368.4,0.0103482487666331,0.0110348956581186
GD,2-year,168,1,2龄,90,1870.66,377.87332,5.9568,0.0157640131883351,167.48,19.2602,0.050969991742206,82318.9,0.0157640131883351,0.050969991742206
GD,2-year,168,2,2龄,91,2182.77,440.9195399999999,5.83032,0.0132230928118994,146.84,16.8866,0.0382985975173611,82940.6,0.0132230928118994,0.0382985975173611
GD,2-year,168,3,2龄,92,2104.09,425.02618,13.794480000000002,0.0324556007349947,133.45,15.346749999999997,0.0361077757610131,76715.9,0.0324556007349947,0.0361077757610131
GD,2-year,168,4,2龄,93,2200.55,444.5111000000001,6.479040000000001,0.0145756540162889,131.25,15.09375,0.0339558449721502,59870.7,0.0145756540162889,0.0339558449721502
GD,2-year,168,5,2龄,94,1749.99,353.49798000000004,9.54924,0.0233840446863862,132.81,15.273149999999998,0.0374006750382103,89365.1,0.0270135631326662,0.0432057631559874
