Figure 4F: GO enrichment of one-year-specific OD-high genes,,,,,,,,
,,,,,,,,
GO_ID,Description,Category,target_count,bg_count,fold_enrichment,gene_ratio,pvalue,padj
GO:0006694,steroid biosynthetic process,biological_process,5,76,1.05263157894737,0.0037369207772795,0.51928226302385,1
GO:0043401,steroid hormone mediated signaling pathway,biological_process,3,44,1.09090909090909,0.0022421524663677,0.524576796535168,1
GO:0000940,condensed chromosome outer kinetochore,cellular_component,3,46,1.04347826086957,0.0022421524663677,0.555035643526354,1
GO:0004867,serine-type endopeptidase inhibitor activity,molecular_function,3,46,1.04347826086957,0.0022421524663677,0.555035643526354,1
GO:0004866,endopeptidase inhibitor activity,molecular_function,9,145,0.993103448275862,0.0067264573991031,0.55751857502284,1
GO:0005525,GTP binding,molecular_function,52,846,0.983451536643026,0.038863976083707,0.571594733888154,1
GO:0003700,sequence-specific DNA binding transcription factor activity,molecular_function,36,590,0.976271186440678,0.0269058295964126,0.584911298954551,1
GO:0019354,siroheme biosynthetic process,biological_process,3,49,0.979591836734694,0.0022421524663677,0.598458098761594,1
GO:0043115,precorrin-2 dehydrogenase activity,molecular_function,3,49,0.979591836734694,0.0022421524663677,0.598458098761594,1
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",molecular_function,14,233,0.96137339055794,0.0104633781763827,0.599761244615258,1
GO:0007264,small GTPase mediated signal transduction,biological_process,26,431,0.965197215777262,0.0194319880418535,0.603646871425579,1
GO:0005179,hormone activity,molecular_function,3,50,0.96,0.0022421524663677,0.612299605607193,1
GO:0003724,RNA helicase activity,molecular_function,14,237,0.945147679324895,0.0104633781763827,0.625385418578349,1
GO:0003924,GTPase activity,molecular_function,40,666,0.960960960960961,0.0298953662182362,0.627695433684185,1
GO:0006950,response to stress,biological_process,4,70,0.914285714285714,0.0029895366218236,0.644377473241322,1
GO:0008484,sulfuric ester hydrolase activity,molecular_function,9,156,0.923076923076923,0.0067264573991031,0.645790630062621,1
GO:0003995,acyl-CoA dehydrogenase activity,molecular_function,3,53,0.905660377358491,0.0022421524663677,0.651865340436773,1
GO:0005876,spindle microtubule,cellular_component,3,53,0.905660377358491,0.0022421524663677,0.651865340436773,1
GO:0004190,aspartic-type endopeptidase activity,molecular_function,7,124,0.903225806451613,0.0052316890881913,0.663148981458107,1
GO:0006812,cation transport,biological_process,3,54,0.888888888888889,0.0022421524663677,0.66439361876405,1
GO:0045454,cell redox homeostasis,biological_process,7,125,0.896,0.0052316890881913,0.671365186020763,1
GO:0006779,porphyrin biosynthetic process,biological_process,3,55,0.872727272727273,0.0022421524663677,0.676590392028491,1
GO:0008168,methyltransferase activity,molecular_function,14,246,0.910569105691057,0.0104633781763827,0.679930154325224,1
GO:0006413,translational initiation,biological_process,3,57,0.842105263157895,0.0022421524663677,0.699991911408525,1
GO:0000287,magnesium ion binding,molecular_function,3,58,0.827586206896552,0.0022421524663677,0.711199688602096,1
GO:0046983,protein dimerization activity,molecular_function,8,148,0.864864864864865,0.0059790732436472,0.713456914382509,1
GO:0006310,DNA recombination,biological_process,17,304,0.894736842105263,0.0127055306427504,0.717137395263657,1
GO:0006457,protein folding,biological_process,8,149,0.859060402684564,0.0059790732436472,0.720420974633093,1
GO:0030170,pyridoxal phosphate binding,molecular_function,6,114,0.842105263157895,0.0044843049327354,0.724112306984004,1
GO:0003857,3-hydroxyacyl-CoA dehydrogenase activity,molecular_function,4,78,0.82051282051282,0.0029895366218236,0.726394410286652,1
GO:0070840,dynein complex binding,molecular_function,8,150,0.853333333333333,0.0059790732436472,0.72727117254541,1
GO:0007049,cell cycle,biological_process,10,186,0.860215053763441,0.007473841554559,0.732511573948124,1
GO:0005509,calcium ion binding,molecular_function,40,698,0.916905444126075,0.0298953662182362,0.739997373535766,1
GO:0006631,fatty acid metabolic process,biological_process,5,98,0.816326530612245,0.0037369207772795,0.740732404782429,1
GO:0006914,autophagy,biological_process,17,311,0.87459807073955,0.0127055306427504,0.750362768773513,1
GO:0022857,transmembrane transporter activity,molecular_function,7,136,0.823529411764706,0.0052316890881913,0.753258482335374,1
GO:0016485,protein processing,biological_process,6,118,0.813559322033898,0.0044843049327354,0.7540699715168,1
GO:0005882,intermediate filament,cellular_component,8,155,0.825806451612903,0.0059790732436472,0.759804967772891,1
GO:0005507,copper ion binding,molecular_function,4,82,0.780487804878049,0.0029895366218236,0.76173729624763,1
GO:0006397,mRNA processing,biological_process,7,139,0.805755395683453,0.0052316890881913,0.77284764099861,1
GO:0005886,plasma membrane,cellular_component,6,121,0.793388429752066,0.0044843049327354,0.774930857229748,1
GO:0005506,iron ion binding,molecular_function,17,317,0.858044164037855,0.0127055306427504,0.776741511155662,1
GO:0005615,extracellular space,cellular_component,9,176,0.818181818181818,0.0067264573991031,0.777691081554853,1
GO:0016788,"hydrolase activity, acting on ester bonds",molecular_function,5,103,0.776699029126214,0.0037369207772795,0.778894413450474,1
GO:0006520,cellular amino acid metabolic process,biological_process,3,65,0.738461538461539,0.0022421524663677,0.780740785436718,1
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",molecular_function,3,65,0.738461538461539,0.0022421524663677,0.780740785436718,1
GO:0051082,unfolded protein binding,molecular_function,9,178,0.808988764044944,0.0067264573991031,0.788665481789009,1
GO:0006281,DNA repair,biological_process,18,338,0.85207100591716,0.0134529147982063,0.79131241212088,1
GO:0043531,ADP binding,molecular_function,4,86,0.744186046511628,0.0029895366218236,0.7934248761953,1
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",molecular_function,16,305,0.839344262295082,0.0119581464872945,0.799509761151114,1
GO:0007155,cell adhesion,biological_process,14,271,0.826568265682657,0.0104633781763827,0.805116435875724,1
GO:0020037,heme binding,molecular_function,14,275,0.814545454545455,0.0104633781763827,0.821364887754488,1
GO:0003774,motor activity,molecular_function,4,90,0.711111111111111,0.0029895366218236,0.821633668103752,1
GO:0005164,tumor necrosis factor receptor binding,molecular_function,4,90,0.711111111111111,0.0029895366218236,0.821633668103752,1
GO:0006576,cellular biogenic amine metabolic process,biological_process,4,91,0.703296703296703,0.0029895366218236,0.828167358904767,1
GO:0048193,Golgi vesicle transport,biological_process,3,71,0.676056338028169,0.0022421524663677,0.828791615682528,1
GO:0010508,positive regulation of autophagy,biological_process,6,130,0.738461538461539,0.0044843049327354,0.82950765441191,1
GO:0003743,translation initiation factor activity,molecular_function,3,72,0.666666666666667,0.0022421524663677,0.835856376846413,1
GO:0009405,pathogenesis,biological_process,8,170,0.752941176470588,0.0059790732436472,0.840502245046004,1
GO:0006396,RNA processing,biological_process,3,73,0.657534246575342,0.0022421524663677,0.842668314241827,1
GO:0016887,ATPase activity,molecular_function,29,548,0.846715328467153,0.0216741405082212,0.84859756938252,1
GO:0016757,"transferase activity, transferring glycosyl groups",molecular_function,4,95,0.673684210526316,0.0029895366218236,0.852340086079485,1
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",molecular_function,8,179,0.715083798882682,0.0059790732436472,0.877579950756037,1
GO:0008146,sulfotransferase activity,molecular_function,7,161,0.695652173913043,0.0052316890881913,0.882614799372442,1
GO:0055114,oxidation-reduction process,biological_process,90,1610,0.894409937888199,0.0672645739910314,0.884391953792336,1
GO:0033179,"proton-transporting V-type ATPase, V0 domain",cellular_component,4,102,0.627450980392157,0.0029895366218236,0.887703604249531,1
GO:0043565,sequence-specific DNA binding,molecular_function,22,443,0.794582392776524,0.0164424514200299,0.893303637806636,1
GO:0008855,exodeoxyribonuclease VII activity,molecular_function,7,164,0.682926829268293,0.0052316890881913,0.893438028592861,1
GO:0006813,potassium ion transport,biological_process,3,82,0.585365853658537,0.0022421524663677,0.893664577842984,1
GO:0016459,myosin complex,cellular_component,3,85,0.564705882352941,0.0022421524663677,0.907034299734834,1
GO:0006629,lipid metabolic process,biological_process,5,128,0.625,0.0037369207772795,0.908270189438701,1
GO:0048870,cell motility,biological_process,5,132,0.606060606060606,0.0037369207772795,0.92120521787089,1
GO:0006270,DNA-dependent DNA replication initiation,biological_process,4,111,0.576576576576577,0.0029895366218236,0.922145616484737,1
GO:0007059,chromosome segregation,biological_process,4,111,0.576576576576577,0.0029895366218236,0.922145616484737,1
GO:0016301,kinase activity,molecular_function,11,255,0.690196078431373,0.0082212257100149,0.928170563386019,1
GO:0031514,motile cilium,cellular_component,5,135,0.592592592592593,0.0037369207772795,0.929820075218073,1
GO:0009058,biosynthetic process,biological_process,8,198,0.646464646464647,0.0059790732436472,0.932828852889406,1
GO:0071949,FAD binding,molecular_function,3,93,0.516129032258065,0.0022421524663677,0.935558712762926,1
GO:0051301,cell division,biological_process,3,94,0.51063829787234,0.0022421524663677,0.938491964711233,1
GO:0006606,protein import into nucleus,biological_process,8,203,0.630541871921182,0.0059790732436472,0.943136323681841,1
GO:0006260,DNA replication,biological_process,14,323,0.693498452012384,0.0104633781763827,0.945823269102876,1
GO:0019031,viral envelope,cellular_component,14,323,0.693498452012384,0.0104633781763827,0.945823269102876,1
GO:0006364,rRNA processing,biological_process,3,97,0.494845360824742,0.0022421524663677,0.946566337318223,1
GO:0015031,protein transport,biological_process,3,97,0.494845360824742,0.0022421524663677,0.946566337318223,1
GO:0008134,transcription factor binding,molecular_function,10,246,0.650406504065041,0.007473841554559,0.94794115401716,1
GO:0003899,DNA-directed RNA polymerase activity,molecular_function,4,122,0.524590163934426,0.0029895366218236,0.951191366383204,1
GO:0008138,protein tyrosine/serine/threonine phosphatase activity,molecular_function,5,145,0.551724137931034,0.0037369207772795,0.952782734084187,1
GO:0006955,immune response,biological_process,5,146,0.547945205479452,0.0037369207772795,0.954655090574162,1
GO:0051536,iron-sulfur cluster binding,molecular_function,3,101,0.475247524752475,0.0022421524663677,0.955803438843487,1
GO:0004725,protein tyrosine phosphatase activity,molecular_function,5,154,0.519480519480519,0.0037369207772795,0.967360401588734,1
GO:0051287,NAD binding,molecular_function,7,199,0.562814070351759,0.0052316890881913,0.968809901329878,1
GO:0005102,receptor binding,molecular_function,10,269,0.594795539033457,0.007473841554559,0.975445862778462,1
GO:0006412,translation,biological_process,5,161,0.496894409937888,0.0037369207772795,0.975690920980242,1
GO:0006470,protein dephosphorylation,biological_process,5,161,0.496894409937888,0.0037369207772795,0.975690920980242,1
GO:0015078,hydrogen ion transmembrane transporter activity,molecular_function,4,138,0.463768115942029,0.0029895366218236,0.976036131222173,1
GO:0050660,flavin adenine dinucleotide binding,molecular_function,6,185,0.518918918918919,0.0044843049327354,0.977051498775219,1
GO:0019028,viral capsid,cellular_component,14,353,0.634560906515581,0.0104633781763827,0.977285144645748,1
GO:0004674,protein serine/threonine kinase activity,molecular_function,4,140,0.457142857142857,0.0029895366218236,0.97812691488006,1
GO:0005680,anaphase-promoting complex,cellular_component,3,116,0.413793103448276,0.0022421524663677,0.978729115904023,1
GO:0015991,ATP hydrolysis coupled proton transport,biological_process,5,165,0.484848484848485,0.0037369207772795,0.979514523028366,1
GO:0035556,intracellular signal transduction,biological_process,7,214,0.523364485981308,0.0052316890881913,0.982454606155345,1
GO:0008033,tRNA processing,biological_process,3,122,0.39344262295082,0.0022421524663677,0.984244653855221,1
GO:0016491,oxidoreductase activity,molecular_function,36,795,0.724528301886792,0.0269058295964126,0.98611533175158,1
GO:0005840,ribosome,cellular_component,4,152,0.421052631578947,0.0029895366218236,0.987475329469286,1
GO:0055085,transmembrane transport,biological_process,33,744,0.709677419354839,0.0246636771300448,0.987722891048081,1
GO:0019001,guanyl nucleotide binding,molecular_function,3,128,0.375,0.0022421524663677,0.988374667055839,1
GO:0031683,G-protein beta/gamma-subunit complex binding,molecular_function,3,128,0.375,0.0022421524663677,0.988374667055839,1
GO:0042981,regulation of apoptosis,biological_process,3,128,0.375,0.0022421524663677,0.988374667055839,1
GO:0004871,signal transducer activity,molecular_function,6,203,0.472906403940887,0.0044843049327354,0.989103919091091,1
GO:0003735,structural constituent of ribosome,molecular_function,4,157,0.407643312101911,0.0029895366218236,0.990117534618181,1
GO:0016567,protein ubiquitination,biological_process,3,139,0.345323741007194,0.0022421524663677,0.993401332588716,1
GO:0006886,intracellular protein transport,biological_process,16,435,0.588505747126437,0.0119581464872945,0.993759346259691,1
GO:0004930,G-protein coupled receptor activity,molecular_function,3,141,0.340425531914894,0.0022421524663677,0.994053833195966,1
GO:0016192,vesicle-mediated transport,biological_process,7,241,0.464730290456432,0.0052316890881913,0.994134778477996,1
GO:0005577,fibrinogen complex,cellular_component,6,219,0.438356164383562,0.0044843049327354,0.994535152717994,1
GO:0030168,platelet activation,biological_process,6,219,0.438356164383562,0.0044843049327354,0.994535152717994,1
GO:0051258,protein polymerization,biological_process,6,219,0.438356164383562,0.0044843049327354,0.994535152717994,1
GO:0006355,"regulation of transcription, DNA-dependent",biological_process,55,1192,0.738255033557047,0.0411061285500747,0.994700415367522,1
GO:0006810,transport,biological_process,27,666,0.648648648648649,0.0201793721973094,0.99529071534493,1
GO:0030674,"protein binding, bridging",molecular_function,6,224,0.428571428571429,0.0044843049327354,0.995616577813685,1
GO:0004842,ubiquitin-protein ligase activity,molecular_function,7,248,0.451612903225806,0.0052316890881913,0.9956344098227,1
GO:0003677,DNA binding,molecular_function,65,1410,0.737588652482269,0.0485799701046338,0.997383857496539,1
GO:0007186,G-protein coupled receptor protein signaling pathway,biological_process,8,285,0.449122807017544,0.0059790732436472,0.99752241650558,1
