Genotype,Age,Time,measure,unit,n,mean,sd,SEM
GD,1-year,0,ROS,fluorescence arbitrary units,5,126568.72,6304.0708087711055,2819.266172676854
GD,1-year,0,THC,fold of genotype-age baseline mean,5,1.0,0.1580419188350991,0.0706784947619571
GD,1-year,24,MOR,percent,5,4.903329231329372,1.519117798487804,0.6793701326497114
GD,1-year,24,PHA,percent,5,6.662012257759464,2.777672647202315,1.2422129716772334
GD,1-year,24,ROS,fluorescence arbitrary units,5,139949.13999999998,2761.588550635301,1235.0199450211308
GD,1-year,24,THC,fold of genotype-age baseline mean,5,1.7304820996051624,0.3877081533113627,0.1733883572470234
GD,1-year,48,MOR,percent,5,13.06908708882998,2.72827788483435,1.2201229623997898
GD,1-year,48,PHA,percent,5,7.816179066780458,1.808599616635001,0.8088303373751844
GD,1-year,48,ROS,fluorescence arbitrary units,5,112563.02,18943.30928341192,8471.705455302375
GD,1-year,48,THC,fold of genotype-age baseline mean,5,2.529737217558645,0.4475665661354092,0.200157853266986
GD,1-year,96,MOR,percent,5,2.247729047161476,0.6479252531736097,0.2897609820869905
GD,1-year,96,PHA,percent,5,2.5460959852783263,0.5339309217727287,0.2387811672745887
GD,1-year,96,ROS,fluorescence arbitrary units,5,113868.18,4677.456855706955,2091.822298236635
GD,1-year,96,THC,fold of genotype-age baseline mean,5,3.057384120242875,0.5288671507395925,0.2365165800240713
GD,1-year,168,MOR,percent,4,4.024571850147245,0.8413653447259425,0.4206826723629712
GD,1-year,168,PHA,percent,4,5.627674323428567,0.4665259720169561,0.233262986008478
GD,1-year,168,ROS,fluorescence arbitrary units,4,30099.975,2717.2546014620475,1358.6273007310238
GD,1-year,168,THC,fold of genotype-age baseline mean,4,4.607957090480772,0.4227411248134047,0.2113705624067023
GD,2-year,0,MOR,percent,5,2.550368090122616,1.093297966699276,0.4889377146403765
GD,2-year,0,PHA,percent,5,3.1251309385294723,0.8547569349926025,0.3822589221765656
GD,2-year,0,ROS,fluorescence arbitrary units,5,62733.31999999999,688.4624441463739,307.8897650133888
GD,2-year,0,THC,fold of genotype-age baseline mean,5,1.0,0.1837009674094344,0.0821535701319937
GD,2-year,24,MOR,percent,5,4.617095867376306,0.5139866856368192,0.2298618337227484
GD,2-year,24,PHA,percent,5,5.875696710051033,2.9513918901191127,1.319902578909585
GD,2-year,24,ROS,fluorescence arbitrary units,5,165801.06,14139.850669402427,6323.533457695947
GD,2-year,24,THC,fold of genotype-age baseline mean,5,0.9424631649445082,0.0931675003231678,0.0416657728032674
GD,2-year,48,MOR,percent,5,3.143026484344036,1.2331855217269794,0.5514973310900139
GD,2-year,48,PHA,percent,5,2.838920695983944,0.7847008473337467,0.3509288873279884
GD,2-year,48,ROS,fluorescence arbitrary units,5,78887.5,3575.1064893230805,1598.8362273854068
GD,2-year,48,THC,fold of genotype-age baseline mean,5,1.6148344814389588,0.2619134299549786,0.1171312467198923
GD,2-year,96,MOR,percent,5,1.0353816721842022,0.2056095965911986,0.0919514069608458
GD,2-year,96,PHA,percent,5,3.271579601227512,0.4529748618375528,0.2025765166334686
GD,2-year,96,ROS,fluorescence arbitrary units,5,164560.16,13191.56740452021,5899.448289255532
GD,2-year,96,THC,fold of genotype-age baseline mean,5,2.384406094527363,0.1153667860742685,0.0515935952015481
GD,2-year,168,MOR,percent,5,2.060638477683686,0.8599231501322209,0.3845693238242806
