gene_base,age,DD,GD,GG,delta_delta_DUI,hybrid_deviation_direction
PB.1140_0,1-year,-0.0032055441388035844,0.2236422035921477,-0.2521024250707654,0.3512961881969322,Positive hybrid deviation
PB.1140_0,2-year,-0.08696384696012965,0.030929038281978904,-0.05002144598227798,0.09942168475318272,Positive hybrid deviation
PB.1142_0,1-year,-0.0418683122735574,-0.03063699077521098,-0.1330485829498763,0.05682145683650586,Positive hybrid deviation
PB.1142_0,2-year,-0.046828610915922594,0.0003270598492995658,-0.07764189800661231,0.06256231431056702,Positive hybrid deviation
PB.1144_0,1-year,0.03099194197213362,-0.11172482209753465,0.01735149613133702,-0.13589654114926997,Negative hybrid deviation
PB.1144_0,2-year,0.06755539434599989,-0.019337470503490994,0.003858791157163699,-0.05504456325507279,Negative hybrid deviation
PB.1145_0,1-year,0.24342765547889145,0.1586138674369196,-0.08146195881586976,0.07763101910540876,Positive hybrid deviation
PB.1145_0,2-year,-0.00986118196178747,0.02400107372207,0.13600185253651867,-0.039069261565295596,Negative hybrid deviation
PB.1148_0,1-year,-0.4103188155197172,0.10603439445669827,-0.0028130891013129003,0.3126003467672133,Positive hybrid deviation
PB.1148_0,2-year,-0.12641009330483738,0.08488873136417588,-0.00042466071346283253,0.14830610837332597,Positive hybrid deviation
PB.1155_0,1-year,-0.03285808747399721,0.3511904761904764,-0.39031339031339035,0.5627762150841702,Positive hybrid deviation
PB.1155_0,2-year,0.033438042578689764,0.05361098213392601,0.21937054173896298,-0.07279331002490036,Negative hybrid deviation
PB.1158_0,1-year,0.17371390618736826,-0.09279833529143211,0.04442791246613409,-0.20186924461818329,Negative hybrid deviation
PB.1158_0,2-year,-0.07061411625537295,-0.03406685549795707,-0.04489800432524671,0.023689204792352758,Positive hybrid deviation
PB.1159_0,1-year,0.07558821803673066,-0.06739130434782603,0.23888888888888893,-0.22462985781063582,Negative hybrid deviation
PB.1159_0,2-year,-0.20203811571088504,-0.099600523854255,0.03650793650793671,-0.016835434252780834,Negative hybrid deviation
PB.1160_0,1-year,-0.012820512820512832,0.13717298829691232,-0.07731298652850599,0.18223973797142173,Positive hybrid deviation
PB.1160_0,2-year,0.2451558677266147,-0.18453434208489636,0.17318023579999767,-0.39370239384820255,Negative hybrid deviation
PB.1169_0,1-year,-0.0087598250315577,-0.08075154210733693,-0.17376366934450826,0.010510205080696056,Positive hybrid deviation
PB.1169_0,2-year,0.05749606747452063,0.062002376404312276,0.03047200499738223,0.018018340168360847,Positive hybrid deviation
PB.1170_0,1-year,-0.010614451669130776,0.021227694273419584,0.13276970556326195,-0.039849932673646005,Negative hybrid deviation
PB.1170_0,2-year,-0.005478088898701716,0.04707721068390203,-0.010728281534939668,0.05518039590072272,Positive hybrid deviation
PB.1173_0,1-year,0.04632189062549108,-0.0941872308960407,0.10505214096692356,-0.16987424669224802,Negative hybrid deviation
PB.1173_0,2-year,0.005482630671485689,0.05277799916557835,0.0172004409136573,0.041436463373006854,Positive hybrid deviation
PB.1174_0,1-year,-0.16385017621740844,0.045303468905292577,0.15499455337690643,0.04973128032554358,Positive hybrid deviation
PB.1174_0,2-year,0.06679375453885267,-0.09354165142197601,0.22474145447790694,-0.23930925593035582,Negative hybrid deviation
PB.1177_0,1-year,0.07871874993887351,-0.03436665001549499,0.006119943766992933,-0.07678599686842821,Negative hybrid deviation
PB.1177_0,2-year,0.08703865082920459,-0.050891713231111635,0.000918784488967539,-0.0948704308901977,Negative hybrid deviation
PB.1178_0,1-year,0.17090417948177627,-0.44261847655935765,-0.0878343735154877,-0.4841533795425019,Negative hybrid deviation
PB.1178_0,2-year,-0.07451007359962863,-0.008238484231220977,-0.011225338835280041,0.03462922198623336,Positive hybrid deviation
PB.1179_0,1-year,0.08281940765310945,0.03800630840268765,0.09116258092110799,-0.048984685884421064,Negative hybrid deviation
PB.1179_0,2-year,0.13222616868389114,0.006958459771588571,0.05708051522741814,-0.08769488218406607,Negative hybrid deviation
PB.117_4,1-year,-0.009663614807103461,-0.0197170996286636,-0.0171628772288429,-0.006303853610690418,Negative hybrid deviation
PB.117_4,2-year,-0.028682994529006297,-0.012028319246775668,-0.017740992647315768,0.011183674341385366,Positive hybrid deviation
